bairro_origem,bairro_destino,logradouro,observacao,peso
Água Fria,Fundão, R. Dom Jose Campelo Junior,,1
Água Fria,Linha Do Tiro, R. Sodrelandia,,1
Água Fria,Alto Santa Teresinha, R. Tamboara,,1
Água Fria,Porto Da Madeira, R. Conselheiro Barros Barreto,,1
Alto Santa Teresinha,Linha Do Tiro, R. Prof. Jose Amarino dos Reis,,1
Alto Santa Teresinha,Bomba Do Hemetério, R. Arlindo Cisneiros,,1
Alto Santa Teresinha,Alto José Do Pinho, R. Padre Oliveira,,1
Alto Santa Teresinha,Morro Da Conceição, R. Corrego Jose Grande,,1
Alto Santa Teresinha,Alto José Bonifacio, R. Hidrolandia,,1
Arruda,Campina Do Barreto, R. Expedicionario jamil Dagli,,1
Arruda,Peixinhos, Av. Prof. Jose dos Anjos,,3
Arruda,Mangabeira, R. Jacob,,1
Arruda,Bomba Do Hemetério, R. Bomba do Hemeterio,,1
Arruda,Ponto De Parada, Av. Beberibe Santa Cruz FC,,3
Arruda,Tamarineira, Estr. Velha de Agua Fria,,5
Arruda,Campo Grande, R. Desenhista Eulino Santos,,1
Beberibe,Linha Do Tiro, R. Alto dos Coqueiros,,1
Beberibe,Porto Da Madeira, Av. Beberibe,,3
Beberibe,Dois Unidos, R. Compositor Vinicius de Morais,,1
Bomba Do Hemetério,Mangabeira, R. Desembargador Heraclio Cavalcanti,,1
Bomba Do Hemetério,Alto José Do Pinho, R. 2A tavares Cha de Alegria,,1
Cajueiro,Campina Do Barreto, R. Cel Urbano Ribeiro de Sena,,1
Cajueiro,Fundão, Av. Nova do Fundao,,3
Cajueiro,Porto Da Madeira, R. Arao Botler,,1
Campina Do Barreto,Fundão, R. Assai,,1
Campina Do Barreto,Peixinhos, R. Dr. Elias Gomes,,1
Campo Grande,Peixinhos, R. Jutai,,1
Campo Grande,Hipódromo, R. Prudente de Moraes,,1
Campo Grande,Ponto De Parada, R. Petrolina Botelho,,1
Campo Grande,Encruzilhada, R. Cristovao Jaques,,1
Campo Grande,Torreão, R. da Fronteira,,1
Dois Unidos,Linha Do Tiro, R. Guaruja,,1
Dois Unidos,Passarinho, R. Compositor Raul Valenca,,1
Dois Unidos,Brejo de Beberibe, Av. Chagas Ferreira,,3
Encruzilhada,Hipódromo, R. Dona Elvira,,1
Encruzilhada,Ponto De Parada, R. Mem de Sa,,1
Encruzilhada,Rosarinho, Av. Santos Dumont,,3
Encruzilhada,Aflitos, R. Carneiro Vilela,,1
Encruzilhada,Espinheiro, R. Alfredo de Castro,,1
Encruzilhada,Torreão, R. Augusto Rodrigues,,1
Fundão,Porto Da Madeira, R. Alto do Benjamim,,1
Hipódromo,Ponto De Parada, R. Prof. Jeronimo Gueiros,,1
Linha Do Tiro,Alto José Bonifacio, R. Bismarck de Freitas,,1
Ponto De Parada,Tamarineira, Av. Eng. Agamenon Magalhaes de Melo,,3
Ponto De Parada,Rosarinho, R. Alm. Noronha de Carvalho,,1
Rosarinho,Tamarineira, R. Gen. Abreu e Lima,,1
Rosarinho,Aflitos, R. Teles Junior,,1
Rosarinho,Graças, R. Desembargador Martins Pereira,,1
Torreão,Espinheiro, R. Antonio Simoes,,1
Aflitos,Graças, R. Conselheiro Portela, ,1
Aflitos,Espinheiro, R. Quarenta e Oito, ,1
Alto Do Mandu,Monteiro, Av. Dr. Eurico Chaves, ,3
Alto Do Mandu,Casa Amarela, R. Santa Izabel, ,1
